Title,Location,Price,Size,Listing_Type
118 m2 2 Bedrooms Apartments for Sale in Muscat Qurm,", Qurm, 915716XX","63,000 OMR",118.0,for sale
247 m2 4 Bedrooms Villa for Sale in Muscat Bosher,", Bosher, 969317XX","105,000 OMR",247.0,for sale
Residential Land for Sale in Al Dakhiliya Nizwa,", Nizwa, 711115XX","45,000 OMR",150.0,for sale
361 m2 More than 6 bedrooms Villa for Sale in Muscat Amerat,", Amerat, 992093XX","88,000 OMR",361.0,for sale
Building for Sale in Al Dakhiliya Nizwa,", Nizwa, 957720XX","79,000 OMR",553.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 995786XX","14,800 OMR",150.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 995786XX","6,700 OMR",150.0,for sale
55 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud,", Al Khoud, 985308XX","19,900 OMR",55.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 995505XX","55,000 OMR",150.0,for sale
370 m2 5 Bedrooms Villa for Sale in Muscat Al-Hail,", Al-Hail, 956652XX","151,000 OMR",370.0,for sale
Industrial Land for Multiple Uses أرض صناعية متعددة الاستخدامات للبيع – فرصة استثمارية ذهبية,", Sohar, 921701XX","100,000 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Al Masnaah,", Al Masnaah, 970897XX","15,000 OMR",150.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 995786XX","11,400 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 944488XX","25,500 OMR",150.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 995786XX","13,900 OMR",150.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 969666XX","9,700 OMR",150.0,for sale
386 m2 5 Bedrooms Villa for Sale in Muscat Al Maabilah,", Al Maabilah, 926643XX","135,000 OMR",386.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 964041XX","22,500 OMR",150.0,for sale
396 m2 5 Bedrooms Villa for Sale in Muscat Al Khoud,", Al Khoud, 774469XX","143,000 OMR",396.0,for sale
345 m2 5 Bedrooms Villa for Sale in Muscat Al Maabilah,", Al Maabilah, 715110XX","70,000 OMR",345.0,for sale
128 m2 3 Bedrooms Apartments for Sale in Muscat Al Khuwair,", Al Khuwair, Call","50,000 OMR",128.0,for sale
149 m2 5 Bedrooms Townhouse for Sale in Muscat Muttrah,", Muttrah, 959599XX","17,000 OMR",149.0,for sale
Building for Sale in Muscat Al Maabilah,", Al Maabilah, 944488XX","330,000 OMR",1150.0,for sale
Industrial Land for Sale in Muscat Rusail,", Rusail, 990123XX","80,000 OMR",150.0,for sale
Residential Land for Sale in Al Sharqiya Other,", Other, 929015XX",Chat,150.0,for sale
62 m2 1 Bedroom Apartments for Sale in Muscat Al Maabilah,", Al Maabilah, 933322XX","19,000 OMR",62.0,for sale
127 m2 3 Bedrooms Apartments for Sale in Muscat Bosher,", Bosher, 992144XX","52,000 OMR",127.0,for sale
معارض للبيع في العامرات السادسة,", Amerat, 992144XX","41,000 OMR",126.0,for sale
Commercial Land for Sale in Muscat Madinat As Sultan Qaboos,", Madinat As Sultan Qaboos, 915716XX","455,000 OMR",150.0,for sale
498 m2 More than 6 bedrooms Villa for Sale in Muscat Al Khoud,", Al Khoud, 915716XX","230,000 OMR",498.0,for sale
80 m2 2 Bedrooms Apartments for Sale in Muscat Qurm,", Qurm, 915716XX","47,500 OMR",80.0,for sale
For sale in a classy area in MQ 2 BHK flat opposite of salam square with 30 months installment,", Madinat As Sultan Qaboos, 915716XX","47,500 OMR",80.0,for sale
Commercial Land for Sale in Muscat Madinat As Sultan Qaboos,", Madinat As Sultan Qaboos, 915716XX","890,000 OMR",150.0,for sale
62 m2 1 Bedroom Apartments for Sale in Muscat Al Maabilah,", Al Maabilah, 915716XX","20,500 OMR",62.0,for sale
241 m2 4 Bedrooms Apartments for Sale in Muscat Bosher,", Bosher, 915716XX","115,000 OMR",241.0,for sale
125 m2 2 Bedrooms Apartments for Sale in Muscat Al Khuwair,", Al Khuwair, 915716XX","65,000 OMR",125.0,for sale
محل للبيع في المعبيله 5/2 فقط  دقائق من مسقط مول في منطقه تجاريه ممتازه بالاقساط المرنه علي 36 شهر,", Al Maabilah, 915716XX","20,000 OMR",25.0,for sale
374 m2 4 Bedrooms Villa for Sale in Muscat Qurm,", Qurm, 915716XX","149,000 OMR",374.0,for sale
399 m2 4 Bedrooms Villa for Sale in Muscat Qurm,", Qurm, 915716XX","160,000 OMR",399.0,for sale
For Sale Luxury 2 Bedroom 135 sqm Apartment in Muscat Hills – Freehold for All Nationalities,", Muscat Hills, 915716XX","99,000 OMR",135.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 995786XX","7,900 OMR",150.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 995786XX","9,900 OMR",150.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 995786XX","13,900 OMR",150.0,for sale
336 m2 4 Bedrooms Villa for Sale in Muscat Al Maabilah,", Al Maabilah, 963090XX","95,000 OMR",336.0,for sale
Fairway Villas - For The Love of Golf,", Yiti, 944477XX","394,000 OMR",316.0,for sale
64 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud,", Al Khoud, 933322XX","25,000 OMR",64.0,for sale
102 m2 2 Bedrooms Apartments for Sale in Muscat Bosher,", Bosher, 978679XX","49,000 OMR",102.0,for sale
72 m2 Studio Apartments for Sale in Muscat Al Mouj,", Al Mouj, 939918XX","79,000 OMR",72.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 995786XX","8,500 OMR",150.0,for sale
416 m2 More than 6 bedrooms Villa for Sale in Muscat Amerat,", Amerat, 917458XX","67,000 OMR",416.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 995786XX","6,500 OMR",150.0,for sale
92 m2 3 Bedrooms Apartments for Sale in Muscat Al Mawaleh,", Al Mawaleh, 964439XX","43,000 OMR",92.0,for sale
Residential Land for Sale in Muscat Bosher,", Bosher, 949999XX","48,000 OMR",150.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 995786XX","5,800 OMR",150.0,for sale
455 m2 5 Bedrooms Villa for Sale in Muscat Al Mouj,", Al Mouj, 939918XX","573,300 OMR",455.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 995786XX","7,900 OMR",150.0,for sale
112 m2 3 Bedrooms Apartments for Sale in Muscat Al Mawaleh,", Al Mawaleh, 992226XX","39,200 OMR",112.0,for sale
"Brand-New 5-Bedroom Villa for Sale in Al Muna, Bosher, Muscat, Oman– OMR 250,000",", Bosher, 786427XX","250,000 OMR",495.0,for sale
110 m2 2 Bedrooms Apartments for Sale in Muscat Al Mouj,", Al Mouj, 939918XX","125,000 OMR",110.0,for sale
118 m2 3 Bedrooms Apartments for Sale in Muscat Bosher,", Bosher, 964439XX","45,000 OMR",118.0,for sale
77 m2 2 Bedrooms Apartments for Sale in Muscat Azaiba,", Azaiba, 715560XX","31,000 OMR",77.0,for sale
52 m2 Studio Apartments for Sale in Muscat Al Mawaleh,", Al Mawaleh, 964439XX","29,000 OMR",52.0,for sale
320 m2 5 Bedrooms Villa for Sale in Muscat Quriyat,", Quriyat, 985055XX","100,000 OMR",320.0,for sale
129 m2 3 Bedrooms Apartments for Sale in Muscat Ghala,", Ghala, 772939XX","57,000 OMR",129.0,for sale
Industrial Land for Sale in Al Dakhiliya Sumail,", Sumail, 715560XX","85,000 OMR",150.0,for sale
3 Bedrooms Farms for Sale in Al Sharqiya Sur,", Sur, 992132XX","75,000 OMR",261.0,for sale
Farm Land for Sale in Al Batinah Al Masnaah,", Al Masnaah, 990455XX","37,000 OMR",150.0,for sale
320 m2 5 Bedrooms Villa for Sale in Muscat Al Maabilah,", Al Maabilah, 715560XX","75,000 OMR",320.0,for sale
فرصة لا تكرر ! امتلك محلك في قلب صلالة بقسط شهري يبدأ من 165 ر.ع فقط وعائد استثماري يتجاوز 11% سنويا,", Salala, 931911XX","19,000 OMR",20.0,for sale
322 m2 5 Bedrooms Villa for Sale in Muscat Al Maabilah,", Al Maabilah, 919113XX","85,000 OMR",322.0,for sale
102 m2 2 Bedrooms Apartments for Sale in Muscat Al-Hail,", Al-Hail, 931911XX","51,000 OMR",102.0,for sale
91 m2 2 Bedrooms Apartments for Sale in Dhofar Salala,", Salala, 917766XX","32,000 OMR",91.0,for sale
695 m2 More than 6 bedrooms Villa for Sale in Muscat Al Mawaleh,", Al Mawaleh, 967610XX","295,000 OMR",695.0,for sale
304 m2 5 Bedrooms Villa for Sale in Al Batinah Sohar,", Sohar, 931911XX","39,353 OMR",304.0,for sale
223 m2 4 Bedrooms Townhouse for Sale in Al Batinah Suwaiq,", Suwaiq, 965527XX","39,500 OMR",223.0,for sale
97 m2 3 Bedrooms Apartments for Sale in Muscat Al Mawaleh,", Al Mawaleh, 964439XX","33,500 OMR",97.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 970008XX","11,000 OMR",150.0,for sale
320 m2 More than 6 bedrooms Villa for Sale in Muscat Amerat,", Amerat, 935923XX","69,000 OMR",320.0,for sale
مكاتب ذكية للبيع  في غلا الاولي مساحات متنوعه  مباشرة من المالك,", Ghala, 992144XX","37,000 OMR",56.0,for sale
220 m2 3 Bedrooms Townhouse for Sale in Al Batinah Saham,", Saham, 947008XX","37,000 OMR",220.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 970041XX","34,000 OMR",150.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 921022XX","99,000 OMR",150.0,for sale
218 m2 4 Bedrooms Villa for Sale in Muscat Seeb,", Seeb, 715560XX","57,500 OMR",218.0,for sale
فرصة قوية محل بمساحة كبيرة جدا في الأنصب للبيع ب 48 ألف بعائد هو الأفضل في السوق,", Ansab, 974398XX","48,000 OMR",121.0,for sale
Residential Land for Sale in Muscat Al-Hail,", Al-Hail, 766360XX","145,000 OMR",150.0,for sale
Residential Land for Sale in Muscat Al Maabilah,", Al Maabilah, 978889XX","60,000 OMR",150.0,for sale
"2-Bedroom Apartment with Stunning Sea Views – The Great Escape Building, AIDA",", Yiti, 944477XX","100,000 OMR",100.0,for sale
محل للبيع في منطقة الأمين بأقساط شهرية,", Bosher, 727272XX","20,000 OMR",660.0,for sale
71 m2 1 Bedroom Apartments for Sale in Muscat Bosher,", Bosher, 944111XX","32,800 OMR",71.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 993418XX","15,000 OMR",150.0,for sale
Furnished 3-Bedroom Lakefront Villa for Sale in Hawana Salalah,", Salala, 919595XX","249,000 OMR",164.0,for sale
71 m2 1 Bedroom Apartments for Sale in Dhofar Salala,", Salala, 955588XX","32,800 OMR",71.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 997282XX","33,000 OMR",150.0,for sale
353 m2 More than 6 bedrooms Villa for Sale in Muscat Amerat,", Amerat, 917458XX","82,000 OMR",353.0,for sale
3-Bedroom Villa with Stunning Sea View for Sale in Jebel Sifah – Private Pool & Garden,", Al-Sifah, 919595XX","250,000 OMR",153.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 911195XX","14,000 OMR",150.0,for sale
325 m2 More than 6 bedrooms Villa for Sale in Muscat Amerat,", Amerat, 991776XX","68,000 OMR",325.0,for sale
Residential Land for Sale in Muscat Madinat As Sultan Qaboos,", Madinat As Sultan Qaboos, 977788XX","375,000 OMR",150.0,for sale
54 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud,", Al Khoud, 933322XX","23,000 OMR",54.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 911195XX","3,800 OMR",150.0,for sale
147 m2 3 Bedrooms Villa for Sale in Muscat Seeb,", Seeb, 914888XX","111,700 OMR",147.0,for sale
Residential Land for Sale in Muscat Bosher,", Bosher, 994280XX","32,000 OMR",150.0,for sale
Commercial Land for Sale in Al Batinah Saham,", Saham, 911195XX","95,000 OMR",150.0,for sale
107 m2 1 Bedroom Apartments for Sale in Muscat Al Mouj,", Al Mouj, 939918XX","88,740 OMR",107.0,for sale
58 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud,", Al Khoud, 913109XX","24,400 OMR",58.0,for sale
58 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud,", Al Khoud, 913109XX","24,400 OMR",58.0,for sale
58 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud,", Al Khoud, 913109XX","24,400 OMR",58.0,for sale
58 m2 1 Bedroom Apartments for Sale in Muscat Seeb,", Seeb, 913109XX","24,400 OMR",58.0,for sale
369 m2 More than 6 bedrooms Villa for Sale in Muscat Amerat,", Amerat, 917458XX","79,000 OMR",369.0,for sale
فرصة استثمارية ذهبية – للبيع مطعمين جاهزين في مواقع مميزة بمسقط,", Qurm, 981078XX","220,000 OMR",400.0,for sale
2 Bedrooms Sea View Villa in Jebel Sifah  فيلا غرفتين على البحر في جبل سيفة للبيع,", Al-Sifah, 919595XX","265,000 OMR",129.0,for sale
Residential Land for Sale in Muscat Al Khoud,", Al Khoud, 942427XX","99,999 OMR",150.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 911195XX","33,000 OMR",150.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 911195XX","42,000 OMR",150.0,for sale
Residential Land for Sale in Muscat Yenkit,", Yenkit, 951122XX","20,500 OMR",150.0,for sale
450 m2 5 Bedrooms Villa for Sale in Muscat Al Khoud,", Al Khoud, 980055XX","136,000 OMR",450.0,for sale
467 m2 More than 6 bedrooms Villa for Sale in Muscat Al Khoud,", Al Khoud, 980055XX","156,000 OMR",467.0,for sale
460 m2 More than 6 bedrooms Villa for Sale in Muscat Al Khoud,", Al Khoud, 980055XX","157,000 OMR",460.0,for sale
Residential Land for Sale in Al Batinah Barka,", Barka, 715560XX","12,000 OMR",150.0,for sale
178 m2 3 Bedrooms Townhouse for Sale in Muscat Quriyat,", Quriyat, 995583XX","65,000 OMR",178.0,for sale
39000 m2 2 Bedrooms Apartments for Sale in Muscat Bosher,", Bosher, 722298XX","39,000 OMR",39000.0,for sale
130 m2 3 Bedrooms Apartments for Sale in Dhofar Salala,", Salala, 944990XX","39,000 OMR",130.0,for sale
220 m2 3 Bedrooms Townhouse for Sale in Al Batinah Saham,", Saham, 947008XX","37,000 OMR",220.0,for sale
للبيع ارض صناعية مساحة 2000 متر تحتوي على ورشة ومكاتب وسكن عمال + سكن مستقل لمشرف ،جاهزة للتسليم  ،,", Misfah, 993775XX","295,000 OMR",2000.0,for sale
302 m2 5 Bedrooms Townhouse for Sale in Al Batinah Barka,", Barka, 995565XX","59,000 OMR",302.0,for sale
Residential Land for Sale in Muscat Amerat,", Amerat, 970008XX","9,900 OMR",150.0,for sale
